番号,104
名前,칸나
呼び名,칸나

CSTR,0,오가타
CSTR,1,칸나
CSTR,3,칸나
CSTR,4,칸나
CSTR,5,오가타
CSTR,6,칸나
CSTR,7,칸나
CSTR,8,인간
CSTR,99,칸나

基礎,체력,2500
基礎,기력,1500
基礎,정신력,2500

素質,성별,1
素質,성장형,3
基礎,신장,1660 ;mm
; 체격,-2 = 여(1100 ~ 1299) 남(1200 ~ 1399) 신장
; 체격,-1 = 여(1300 ~ 1499) 남(1400 ~ 1599)
; 체격,0  = 여(1500 ~ 1699) 남(1600 ~ 1799)
; 체격,1  = 여(1700 ~ 1799) 남(1800 ~ 1949)
; 체격,2  = 여(1800 ~ 1999) 남(1950 ~ 2149)
; 체격,3  =   (3000 ~ 3999)
素質,체격,0
素質,체형,0
素質,가슴크기,1
素質,엉덩이크기,1
素質,머리길이,4
素質,머리색,0xFCFFC4

素質,처녀,1
素質,애널처녀,1
素質,키스미경험,1
素質,음모현재치,0
素質,음모목표치,0
素質,겨드랑이털현재치,0
素質,겨드랑이털목표치,0
素質,Ｖ조임,950
素質,Ａ조임,950
素質,성적기호,4
素質,학생,1

素質,비관적,1
素質,선을넘지않음,1
素質,불결무시,1
素質,동물귀,1

能力,무투,61
能力,방위,78
能力,지략,55
能力,정치,49
能力,가창,32
能力,요리,32
能力,야심,20
能力,성지식,3
能力,Ｃ감,0
能力,Ｂ감,0
能力,Ｖ감,0
能力,Ａ감,0
能力,Ｍ감,0
能力,욕망,1
能力,성기술,0
能力,봉사,0
能力,노출,0
能力,새드,0
能力,마조,0
能力,주량,3

相性,87,80
相性,105,150
相性,106,150
相性,122,50